"","Tm","Year","Date","Time","LTime","at","Opp","Week","G.","Day","Result","OT","Location","Surface","Roof","Temperature","turf_spec","Stadium","Surface_detailed","Surface_3cat","Surface_2cat","n_injs","Surface_all","TeamYear"
"621","BUF",2019,"10/27/2019","13:00","13:00","","PHI",8,7,"Sun","L 13-31","","BUF","a_turf","outdoors","54","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","BUF 2019"
"622","BUF",2019,"11/3/2019","13:00","13:00","","WAS",9,8,"Sun","W 24-9","","BUF","a_turf","outdoors","42","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2019"
"623","BUF",2019,"11/24/2019","13:00","13:00","","DEN",12,11,"Sun","W 20-3","","BUF","a_turf","outdoors","40","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2019"
"624","BUF",2019,"12/8/2019","13:00","13:00","","BAL",14,13,"Sun","L 17-24","","BUF","a_turf","outdoors","43","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","BUF 2019"
"625","BUF",2019,"12/29/2019","13:00","13:00","","NYJ",17,16,"Sun","L 6-13","","BUF","a_turf","outdoors","43","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2019"
"626","CIN",2019,"9/22/2019","13:00","13:00","@","BUF",3,3,"Sun","L 17-21","","BUF","a_turf","outdoors","83","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","CIN 2019"
"627","DEN",2019,"11/24/2019","13:00","13:00","@","BUF",12,11,"Sun","L 3-20","","BUF","a_turf","outdoors","40","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","DEN 2019"
"628","MIA",2019,"10/20/2019","13:00","13:00","@","BUF",7,6,"Sun","L 21-31","","BUF","a_turf","outdoors","65","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","MIA 2019"
"629","NE",2019,"9/29/2019","13:00","13:00","@","BUF",4,4,"Sun","W 16-10","","BUF","a_turf","outdoors","58","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",3,"A-Turf","NE 2019"
"630","NYJ",2019,"12/29/2019","13:00","13:00","@","BUF",17,16,"Sun","W 13-6","","BUF","a_turf","outdoors","43","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","NYJ 2019"
"631","PHI",2019,"10/27/2019","13:00","13:00","@","BUF",8,8,"Sun","W 31-13","","BUF","a_turf","outdoors","54","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","PHI 2019"
"632","WAS",2019,"11/3/2019","13:00","13:00","@","BUF",9,9,"Sun","L 9-24","","BUF","a_turf","outdoors","42","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",2,"A-Turf","WAS 2019"
"633","BUF",2018,"9/16/2018","13:00","13:00","","LAC",2,2,"Sun","L 20-31","","BUF","a_turf","outdoors","83","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2018"
"634","BUF",2018,"10/7/2018","13:00","13:00","","TEN",5,5,"Sun","W 13-12","","BUF","a_turf","outdoors","62","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2018"
"635","BUF",2018,"10/29/2018","20:15","20:15","","NE",8,8,"Mon","L 6-25","","BUF","a_turf","outdoors","46","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2018"
"636","BUF",2018,"11/4/2018","13:00","13:00","","CHI",9,9,"Sun","L 9-41","","BUF","a_turf","outdoors","49","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","BUF 2018"
"637","BUF",2018,"11/25/2018","13:00","13:00","","JAX",12,11,"Sun","W 24-21","","BUF","a_turf","outdoors","44","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2018"
"638","BUF",2018,"12/9/2018","13:00","13:00","","NYJ",14,13,"Sun","L 23-27","","BUF","a_turf","outdoors","31","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",3,"A-Turf","BUF 2018"
"639","BUF",2018,"12/16/2018","13:00","13:00","","DET",15,14,"Sun","W 14-13","","BUF","a_turf","outdoors","39","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2018"
"640","BUF",2018,"12/30/2018","13:00","13:00","","MIA",17,16,"Sun","W 42-17","","BUF","a_turf","outdoors","33","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","BUF 2018"
"641","CHI",2018,"11/4/2018","13:00","13:00","@","BUF",9,8,"Sun","W 41-9","","BUF","a_turf","outdoors","49","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","CHI 2018"
"642","DET",2018,"12/16/2018","13:00","13:00","@","BUF",15,14,"Sun","L 13-14","","BUF","a_turf","outdoors","39","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","DET 2018"
"643","JAX",2018,"11/25/2018","13:00","13:00","@","BUF",12,11,"Sun","L 21-24","","BUF","a_turf","outdoors","44","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",2,"A-Turf","JAX 2018"
"644","MIA",2018,"12/30/2018","13:00","13:00","@","BUF",17,16,"Sun","L 17-42","","BUF","a_turf","outdoors","33","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","MIA 2018"
"645","NE",2018,"10/29/2018","20:15","20:15","@","BUF",8,8,"Mon","W 25-6","","BUF","a_turf","outdoors","46","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","NE 2018"
"646","NYJ",2018,"12/9/2018","13:00","13:00","@","BUF",14,13,"Sun","W 27-23","","BUF","a_turf","outdoors","31","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","NYJ 2018"
"647","LAC",2018,"9/16/2018","13:00","13:00","@","BUF",2,2,"Sun","W 31-20","","BUF","a_turf","outdoors","83","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",0,"A-Turf","LAC 2018"
"648","TEN",2018,"10/7/2018","13:00","13:00","@","BUF",5,5,"Sun","L 12-13","","BUF","a_turf","outdoors","62","A-Turf Titan 50","BUF","A-Turf","Other Artificial","Artificial Turf",1,"A-Turf","TEN 2018"
"649","ARI",2023,"1/7/2024","","","","SEA",18,17,"Sun","L 20-21","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","ARI 2023"
"650","ARI",2023,"12/17/2023","","","","SF",15,14,"Sun","L 29-45","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","ARI 2023"
"651","ARI",2023,"11/26/2023","","","","LAR",12,12,"Sun","L 14-37","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2023"
"652","ARI",2023,"11/12/2023","","","","ATL",10,10,"Sun","W 25-23","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","ARI 2023"
"653","ARI",2023,"10/29/2023","","","","BAL",8,8,"Sun","L 24-31","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","ARI 2023"
"654","ARI",2023,"10/8/2023","","","","CIN",5,5,"Sun","L 20-34","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","ARI 2023"
"655","ARI",2023,"9/24/2023","","","","DAL",3,3,"Sun","W 28-16","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","ARI 2023"
"656","ARI",2023,"9/17/2023","","","","NYG",2,2,"Sun","L 28-31","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","ARI 2023"
"657","ATL",2023,"11/12/2023","","","@","ARI",10,10,"Sun","L 23-25","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","ATL 2023"
"658","BAL",2023,"10/29/2023","","","@","ARI",8,8,"Sun","W 31-24","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","BAL 2023"
"659","CIN",2023,"10/8/2023","","","@","ARI",5,5,"Sun","W 34-20","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","CIN 2023"
"660","DAL",2023,"9/24/2023","","","@","ARI",3,3,"Sun","L 16-28","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","DAL 2023"
"661","LAR",2023,"11/26/2023","","","@","ARI",12,11,"Sun","W 37-14","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LAR 2023"
"662","NYG",2023,"9/17/2023","","","@","ARI",2,2,"Sun","W 31-28","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","NYG 2023"
"663","SEA",2023,"1/7/2024","","","@","ARI",18,17,"Sun","W 21-20","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","SEA 2023"
"664","SF",2023,"12/17/2023","","","@","ARI",15,14,"Sun","W 45-29","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","SF 2023"
"665","BUF",2020,"10/4/2020","","","@","LV",4,4,"Sun","W 30-23","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","BUF 2020"
"666","DEN",2020,"11/15/2020","","","@","LV",10,9,"Sun","L 12-37","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","DEN 2020"
"667","IND",2020,"12/13/2020","","","@","LV",14,13,"Sun","W 44-27","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","IND 2020"
"668","KC",2020,"11/22/2020","","","@","LV",11,10,"Sun","W 35-31","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","KC 2020"
"669","LAC",2020,"12/17/2020","","","@","LV",15,14,"Thu","W 30-27 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","LAC 2020"
"670","LV",2020,"9/21/2020","","","","NO",2,2,"Mon","W 34-24","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","LV 2020"
"671","LV",2020,"10/4/2020","","","","BUF",4,4,"Sun","L 23-30","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2020"
"672","LV",2020,"10/25/2020","","","","TB",7,6,"Sun","L 20-45","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","LV 2020"
"673","LV",2020,"11/15/2020","","","","DEN",10,9,"Sun","W 37-12","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2020"
"674","LV",2020,"11/22/2020","","","","KC",11,10,"Sun","L 31-35","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","LV 2020"
"675","LV",2020,"12/13/2020","","","","IND",14,13,"Sun","L 27-44","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2020"
"676","LV",2020,"12/17/2020","","","","LAC",15,14,"Thu","L 27-30 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2020"
"677","LV",2020,"12/26/2020","","","","MIA",16,15,"Sat","L 25-26","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","LV 2020"
"678","MIA",2020,"12/26/2020","","","@","LV",16,15,"Sat","W 26-25","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","MIA 2020"
"679","BUF",2023,"1/7/2024","","","@","MIA",18,17,"Sun","W 21-14","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","BUF 2023"
"680","CAR",2023,"10/15/2023","","","@","MIA",6,6,"Sun","L 21-42","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","CAR 2023"
"681","DAL",2023,"12/24/2023","","","@","MIA",16,15,"Sun","L 20-22","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","DAL 2023"
"682","DEN",2023,"9/24/2023","","","@","MIA",3,3,"Sun","L 20-70","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","DEN 2023"
"683","LV",2023,"11/19/2023","","","@","MIA",11,11,"Sun","L 13-20","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2023"
"684","MIA",2023,"1/7/2024","","","","BUF",18,17,"Sun","L 14-21","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","MIA 2023"
"685","MIA",2023,"12/24/2023","","","","DAL",16,15,"Sun","W 22-20","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","MIA 2023"
"686","MIA",2023,"12/17/2023","","","","NYJ",15,14,"Sun","W 30-0","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIA 2023"
"687","MIA",2023,"12/11/2023","","","","TEN",14,13,"Mon","L 27-28","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIA 2023"
"688","MIA",2023,"11/19/2023","","","","LV",11,10,"Sun","W 20-13","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","MIA 2023"
"689","MIA",2023,"10/29/2023","","","","NE",8,8,"Sun","W 31-17","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","MIA 2023"
"690","MIA",2023,"10/15/2023","","","","CAR",6,6,"Sun","W 42-21","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","MIA 2023"
"691","MIA",2023,"10/8/2023","","","","NYG",5,5,"Sun","W 31-16","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","MIA 2023"
"692","MIA",2023,"9/24/2023","","","","DEN",3,3,"Sun","W 70-20","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIA 2023"
"693","NE",2023,"10/29/2023","","","@","MIA",8,8,"Sun","L 17-31","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","NE 2023"
"694","NYG",2023,"10/8/2023","","","@","MIA",5,5,"Sun","L 16-31","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","NYG 2023"
"695","NYJ",2023,"12/17/2023","","","@","MIA",15,14,"Sun","L 0-30","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","NYJ 2023"
"696","TEN",2023,"12/11/2023","","","@","MIA",14,13,"Mon","W 28-27","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","TEN 2023"
"697","NO",2020,"9/21/2020","","","@","LV",2,2,"Mon","L 24-34","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","NO 2020"
"698","TB",2020,"10/25/2020","","","@","LV",7,7,"Sun","W 45-20","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","TB 2020"
"699","ARI",2022,"12/25/2022","","","","TB",16,15,"Sun","L 16-19 (OT)","OT","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","ARI 2022"
"700","ARI",2022,"12/12/2022","","","","NE",14,13,"Mon","L 13-27","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2022"
"701","ARI",2022,"11/27/2022","","","","LAC",12,12,"Sun","L 24-25","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","ARI 2022"
"702","ARI",2022,"11/6/2022","","","","SEA",9,9,"Sun","L 21-31","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2022"
"703","ARI",2022,"10/20/2022","","","","NO",7,7,"Thu","W 42-34","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2022"
"704","ARI",2022,"10/9/2022","","","","PHI",5,5,"Sun","L 17-20","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","ARI 2022"
"705","ARI",2022,"9/25/2022","","","","LAR",3,3,"Sun","L 12-20","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","ARI 2022"
"706","ARI",2022,"9/11/2022","","","","KC",1,1,"Sun","L 21-44","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","ARI 2022"
"707","KC",2022,"9/11/2022","","","@","ARI",1,1,"Sun","W 44-21","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","KC 2022"
"708","LAC",2022,"11/27/2022","","","@","ARI",12,11,"Sun","W 25-24","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LAC 2022"
"709","LAR",2022,"9/25/2022","","","@","ARI",3,3,"Sun","W 20-12","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","LAR 2022"
"710","NO",2022,"10/20/2022","","","@","ARI",7,7,"Thu","L 34-42","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","NO 2022"
"711","NE",2022,"12/12/2022","","","@","ARI",14,13,"Mon","W 27-13","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","NE 2022"
"712","PHI",2022,"10/9/2022","","","@","ARI",5,5,"Sun","W 20-17","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","PHI 2022"
"713","SEA",2022,"11/6/2022","","","@","ARI",9,9,"Sun","W 31-21","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","SEA 2022"
"714","TB",2022,"12/25/2022","","","@","ARI",16,15,"Sun","W 19-16 (OT)","OT","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","TB 2022"
"715","BAL",2021,"9/13/2021","","","@","LV",1,1,"Mon","L 27-33 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","BAL 2021"
"716","CHI",2021,"10/10/2021","","","@","LV",5,5,"Sun","W 20-9","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","CHI 2021"
"717","CIN",2021,"11/21/2021","","","@","LV",11,10,"Sun","W 32-13","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","CIN 2021"
"718","DEN",2021,"12/26/2021","","","@","LV",16,15,"Sun","L 13-17","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","DEN 2021"
"719","KC",2021,"11/14/2021","","","@","LV",10,10,"Sun","W 41-14","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","KC 2021"
"720","LAC",2021,"1/9/2022","","","@","LV",18,17,"Sun","L 32-35 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LAC 2021"
"721","LV",2021,"9/13/2021","","","","BAL",1,1,"Mon","W 33-27 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","LV 2021"
"722","LV",2021,"9/26/2021","","","","MIA",3,3,"Sun","W 31-28 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2021"
"723","LV",2021,"10/10/2021","","","","CHI",5,5,"Sun","L 9-20","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","LV 2021"
"724","LV",2021,"10/24/2021","","","","PHI",7,7,"Sun","W 33-22","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2021"
"725","LV",2021,"11/14/2021","","","","KC",10,9,"Sun","L 14-41","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","LV 2021"
"726","LV",2021,"11/21/2021","","","","CIN",11,10,"Sun","L 13-32","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2021"
"727","LV",2021,"12/5/2021","","","","WAS",13,12,"Sun","L 15-17","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","LV 2021"
"728","LV",2021,"12/26/2021","","","","DEN",16,15,"Sun","W 17-13","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2021"
"729","LV",2021,"1/9/2022","","","","LAC",18,17,"Sun","W 35-32 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","LV 2021"
"730","MIA",2021,"9/26/2021","","","@","LV",3,3,"Sun","L 28-31 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIA 2021"
"731","PHI",2021,"10/24/2021","","","@","LV",7,7,"Sun","L 22-33","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","PHI 2021"
"732","WAS",2021,"12/5/2021","","","@","LV",13,12,"Sun","W 17-15","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","WAS 2021"
"733","ARI",2022,"9/18/2022","","","@","LV",2,2,"Sun","W 29-23 (OT)","OT","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2022"
"734","DEN",2022,"10/2/2022","","","@","LV",4,4,"Sun","L 23-32","","OAK","grass","","","Bermuda Grass","OAK","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","DEN 2022"
"735","BUF",2022,"9/25/2022","","","@","MIA",3,3,"Sun","L 19-21","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","BUF 2022"
"736","CLE",2022,"11/13/2022","","","@","MIA",10,9,"Sun","L 17-39","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","CLE 2022"
"737","GB",2022,"12/25/2022","","","@","MIA",16,15,"Sun","W 26-20","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","GB 2022"
"738","HOU",2022,"11/27/2022","","","@","MIA",12,11,"Sun","L 15-30","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","HOU 2022"
"739","MIA",2022,"1/8/2023","","","","NYJ",18,17,"Sun","W 11-6","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","MIA 2022"
"740","MIA",2022,"12/25/2022","","","","GB",16,15,"Sun","L 20-26","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIA 2022"
"741","MIA",2022,"11/27/2022","","","","HOU",12,11,"Sun","W 30-15","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","MIA 2022"
"742","MIA",2022,"11/13/2022","","","","CLE",10,10,"Sun","W 39-17","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","MIA 2022"
"743","MIA",2022,"10/23/2022","","","","PIT",7,7,"Sun","W 16-10","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIA 2022"
"744","MIA",2022,"10/16/2022","","","","MIN",6,6,"Sun","L 16-24","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","MIA 2022"
"745","MIA",2022,"9/25/2022","","","","BUF",3,3,"Sun","W 21-19","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","MIA 2022"
"746","MIA",2022,"9/11/2022","","","","NE",1,1,"Sun","W 20-7","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","MIA 2022"
"747","MIN",2022,"10/16/2022","","","@","MIA",6,6,"Sun","W 24-16","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","MIN 2022"
"748","NE",2022,"9/11/2022","","","@","MIA",1,1,"Sun","L 7-20","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","NE 2022"
"749","NYJ",2022,"1/8/2023","","","@","MIA",18,17,"Sun","L 6-11","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","NYJ 2022"
"750","PIT",2022,"10/23/2022","","","@","MIA",7,7,"Sun","L 10-16","","MIA","grass","","","Bermuda Grass","MIA","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","PIT 2022"
"751","ARI",2021,"9/19/2021","","","","MIN",2,2,"Sun","W 34-33","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2021"
"752","ARI",2021,"10/10/2021","","","","SF",5,5,"Sun","W 17-10","","ARI","grass","","","Bermuda Grass","ARI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","ARI 2021"
